team,elo,round
Cardiff,1293.72,27
Chelsea,1471.52,27
Everton,1354.56,27
Leicester,1336.48,27
Tottenham,1521.48,27
West Ham,1393.24,27
Brighton,1349.44,27
Burnley,1398.8,27
Man City,1657.8,27
Crystal Palace,1382.68,27
Man United,1552.2,28
Bournemouth,1338.24,28
Fulham,1237.48,28
Huddersfield,1207.8,28
Newcastle,1387.12,28
Watford,1417.6,28
Wolves,1401.72,28
Arsenal,1504.68,28
Liverpool,1607.68,28
Southampton,1343.4,28
Cardiff,1280.0,28
Chelsea,1479.8,28
Everton,1389.84,28
Leicester,1351.68,28
Tottenham,1501.36,28
West Ham,1385.16,28
Brighton,1296.24,28
Burnley,1380.52,28
Man City,1591.04,28
Crystal Palace,1368.0,28
Man United,1559.2,29
Bournemouth,1379.64,29
Fulham,1227.12,29
Huddersfield,1195.88,29
Newcastle,1370.44,29
Watford,1430.64,29
Wolves,1412.72,29
Arsenal,1507.92,29
Liverpool,1597.6,29
Southampton,1336.4,29
Cardiff,1306.08,29
Chelsea,1490.16,29
Everton,1364.64,29
Leicester,1338.64,29
Tottenham,1498.12,29
West Ham,1378.48,29
Brighton,1308.16,29
Burnley,1356.4,29
Man City,1657.8,29
Crystal Palace,1392.12,29
Man United,1539.72,30
Bournemouth,1352.04,30
Fulham,1216.28,30
Huddersfield,1180.52,30
Newcastle,1388.24,30
Watford,1421.88,30
Wolves,1420.24,30
Arsenal,1527.4,30
Liverpool,1603.6,30
Southampton,1362.08,30
Cardiff,1280.0,30
Chelsea,1482.64,30
Everton,1348.4,30
Leicester,1349.48,30
Tottenham,1472.44,30
West Ham,1374.48,30
Brighton,1336.0,30
Burnley,1350.4,30
Man City,1599.8,30
Crystal Palace,1364.28,30
Man United,1550.28,31
Bournemouth,1336.6,31
Fulham,1205.76,31
Huddersfield,1165.48,31
Newcastle,1371.0,31
Watford,1411.32,31
Wolves,1398.32,31
Arsenal,1436.36,31
Liverpool,1608.88,31
Southampton,1384.04,31
Cardiff,1280.0,31
Chelsea,1458.44,31
Everton,1372.6,31
Leicester,1388.4,31
Tottenham,1546.04,31
West Ham,1385.88,31
Brighton,1314.04,31
Burnley,1348.84,31
Man City,1605.04,31
Crystal Palace,1371.92,31
Man United,1525.12,32
Bournemouth,1379.64,32
Fulham,1198.64,32
Huddersfield,1305.2,32
Newcastle,1378.6,32
Watford,1418.44,32
Wolves,1423.48,32
Arsenal,1537.04,32
Liverpool,1629.36,32
Southampton,1373.32,32
Cardiff,1287.12,32
Chelsea,1482.08,32
Everton,1396.76,32
Leicester,1344.76,32
Tottenham,1474.52,32
West Ham,1361.72,32
Brighton,1305.2,32
Burnley,1375.04,32
Man City,1609.2,32
Crystal Palace,1360.08,32
Man United,1533.4,33
Bournemouth,1336.8,33
Fulham,1227.36,33
Huddersfield,1154.24,33
Newcastle,1380.04,33
Watford,1303.04,33
Wolves,1290.0,33
Arsenal,1512.48,33
Liverpool,1525.72,33
Southampton,1332.72,33
Cardiff,1275.0,33
Chelsea,1492.52,33
Everton,1392.6,33
Leicester,1373.76,33
Tottenham,1546.04,33
West Ham,1343.0,33
Brighton,1282.28,33
Burnley,1383.68,33
Man City,1657.8,33
Crystal Palace,1384.52,33
Man United,1546.36,34
Bournemouth,1307.76,34
Fulham,1256.4,34
Huddersfield,1140.16,34
Newcastle,1397.32,34
Watford,1410.44,34
Wolves,1404.04,34
Arsenal,1530.52,34
Liverpool,1639.12,34
Southampton,1375.48,34
Cardiff,1298.84,34
Chelsea,1482.76,34
Everton,1389.84,34
Leicester,1344.76,34
Tottenham,1469.04,34
West Ham,1374.48,34
Brighton,1258.44,34
Burnley,1375.04,34
Man City,1629.88,34
Crystal Palace,1373.36,34
Man United,1492.32,35
Bournemouth,1379.64,35
Fulham,1300.0,35
Huddersfield,1305.2,35
Newcastle,1371.0,35
Watford,1405.12,35
Wolves,1416.04,35
Arsenal,1476.8,35
Liverpool,1645.76,35
Southampton,1380.8,35
Cardiff,1292.2,35
Chelsea,1474.2,35
Everton,1417.16,35
Leicester,1375.44,35
Tottenham,1476.36,35
West Ham,1341.32,35
Brighton,1261.76,35
Burnley,1392.24,35
Man City,1646.4,35
Crystal Palace,1404.44,35
Man United,1487.88,36
Bournemouth,1315.08,36
Fulham,1275.0,36
Huddersfield,1138.68,36
Newcastle,1393.04,36
Watford,1382.32,36
Wolves,1438.84,36
Arsenal,1454.44,36
Liverpool,1647.24,36
Southampton,1373.48,36
Cardiff,1273.6,36
Chelsea,1478.64,36
Everton,1419.88,36
Leicester,1397.8,36
Tottenham,1446.2,36
West Ham,1371.48,36
Brighton,1266.04,36
Burnley,1382.4,36
Man City,1656.24,36
Crystal Palace,1401.72,36
Man United,1474.24,37
Bournemouth,1339.12,37
Fulham,1266.36,37
Huddersfield,1152.32,37
Newcastle,1383.2,37
Watford,1370.76,37
Wolves,1447.48,37
Arsenal,1442.16,37
Liverpool,1657.08,37
Southampton,1356.8,37
Cardiff,1257.48,37
Chelsea,1490.2,37
Everton,1434.4,37
Leicester,1392.28,37
Tottenham,1422.16,37
West Ham,1388.16,37
Brighton,1278.32,37
Burnley,1367.88,37
Man City,1661.76,37
Crystal Palace,1417.84,37
Man United,1441.0,38
Bournemouth,1326.72,38
Fulham,1249.6,38
Huddersfield,1165.16,38
Newcastle,1399.96,38
Watford,1348.32,38
Wolves,1440.48,38
Arsenal,1461.32,38
Liverpool,1664.08,38
Southampton,1343.96,38
Cardiff,1290.72,38
Chelsea,1488.04,38
Everton,1437.12,38
Leicester,1394.44,38
Tottenham,1419.44,38
West Ham,1410.6,38
Brighton,1272.96,38
Burnley,1348.72,38
Man City,1667.12,38
Crystal Palace,1430.24,38
