team,elo,round
Swansea,1200,10
Stoke,1200,10
West Brom,1200,10
Man City,1555.08,11
Liverpool,1610.96,11
Tottenham,1510.04,11
Man United,1514.36,11
Chelsea,1509.24,11
Arsenal,1464.24,11
Everton,1383.84,11
Leicester,1386.96,11
West Ham,1407.32,11
Burnley,1333.04,11
Crystal Palace,1349.08,11
Watford,1410.4,11
Newcastle,1315.56,11
Bournemouth,1342.6,11
Brighton,1365.32,11
Southampton,1350.72,11
Huddersfield,1221.68,11
Swansea,1200,11
Stoke,1200,11
West Brom,1200,11
Man City,1532.88,12
Liverpool,1602.28,12
Tottenham,1531.12,12
Man United,1511.52,12
Chelsea,1466.28,12
Arsenal,1491.08,12
Everton,1380.28,12
Leicester,1384.52,12
West Ham,1371.4,12
Burnley,1352.64,12
Crystal Palace,1348.48,12
Watford,1392.32,12
Newcastle,1360.96,12
Bournemouth,1386.72,12
Brighton,1334.08,12
Southampton,1364.32,12
Huddersfield,1199.92,12
Swansea,1200,12
Stoke,1200,12
West Brom,1200,12
Man City,1572.08,13
Liverpool,1599.52,13
Tottenham,1547.88,13
Man United,1537.4,13
Chelsea,1459.68,13
Arsenal,1485.48,13
Everton,1332.04,13
Leicester,1359.96,13
West Ham,1382.88,13
Burnley,1372.4,13
Crystal Palace,1359.2,13
Watford,1406.52,13
Newcastle,1352.56,13
Bournemouth,1358.08,13
Brighton,1311.44,13
Southampton,1340.52,13
Huddersfield,1185.88,13
Swansea,1200,13
Stoke,1200,13
West Brom,1200,13
Man City,1591.04,14
Liverpool,1607.68,14
Tottenham,1501.36,14
Man United,1552.2,14
Chelsea,1479.8,14
Arsenal,1504.68,14
Everton,1354.56,14
Leicester,1351.68,14
West Ham,1385.16,14
Burnley,1380.52,14
Crystal Palace,1368.0,14
Watford,1417.6,14
Newcastle,1387.12,14
Bournemouth,1338.24,14
Brighton,1296.24,14
Southampton,1343.4,14
Huddersfield,1207.8,14
Swansea,1200,14
Stoke,1200,14
West Brom,1200,14
Man City,1599.8,15
Liverpool,1603.6,15
Tottenham,1472.44,15
Man United,1539.72,15
Chelsea,1482.64,15
Arsenal,1527.4,15
Everton,1348.4,15
Leicester,1349.48,15
West Ham,1378.48,15
Burnley,1350.4,15
Crystal Palace,1364.28,15
Watford,1421.88,15
Newcastle,1388.24,15
Bournemouth,1352.04,15
Brighton,1336.0,15
Southampton,1362.08,15
Huddersfield,1180.52,15
Swansea,1200,15
Stoke,1200,15
West Brom,1200,15
Man City,1609.2,16
Liverpool,1629.36,16
Tottenham,1474.52,16
Man United,1525.12,16
Chelsea,1482.08,16
Arsenal,1537.04,16
Everton,1396.76,16
Leicester,1388.4,16
West Ham,1361.72,16
Burnley,1348.84,16
Crystal Palace,1360.08,16
Watford,1418.44,16
Newcastle,1378.6,16
Bournemouth,1336.6,16
Brighton,1305.2,16
Southampton,1373.32,16
Huddersfield,1165.48,16
Swansea,1200,16
Stoke,1200,16
West Brom,1200,16
Man City,1629.88,17
Liverpool,1639.12,17
Tottenham,1469.04,17
Man United,1533.4,17
Chelsea,1482.76,17
Arsenal,1530.52,17
Everton,1392.6,17
Leicester,1373.76,17
West Ham,1343.0,17
Burnley,1383.68,17
